,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp
285,26.5,-123.125,292.85297,292.84042,292.20593
286,26.5,-122.5,292.86127,292.8495,292.39343
287,26.5,-121.875,293.00018,292.98688,292.17468
288,26.5,-121.25,292.85922,292.84164,291.53406
289,26.5,-120.625,292.3931,292.37714,291.65125
290,26.5,-120.0,292.33047,292.31345,291.58093
291,26.5,-119.375,292.3749,292.35706,291.39343
292,26.5,-118.75,292.38052,292.36328,291.39343
293,26.5,-118.125,292.68542,292.66476,291.90906
294,26.5,-117.5,292.96658,292.9467,292.15613
295,26.5,-116.875,292.96826,292.94806,291.7531
296,26.5,-116.25,292.45752,292.43384,291.10468
297,26.5,-115.625,292.0209,291.99597,291.0077
298,26.5,-115.0,292.18988,292.169,291.33533
299,26.5,-114.375,292.71518,292.64145,291.8778
300,26.5,-113.75,293.62064,292.25653,291.33908
301,26.5,-113.125,295.40286,291.59448,290.2844
302,26.5,-112.5,298.2097,289.32193,286.80002
303,26.5,-111.875,299.2568,289.56287,287.19064
304,26.5,-111.25,294.0344,292.7278,290.94064
305,26.5,-110.625,292.92133,292.89566,291.13922
306,26.5,-110.0,294.06287,292.91455,290.67502
307,26.5,-109.375,297.88965,291.9332,289.08127
308,26.5,-108.75,301.145,292.2036,287.57346
309,26.5,-108.125,298.10858,289.5669,281.88205
310,26.5,-107.5,291.31793,284.1069,274.96017
311,26.5,-106.875,287.05118,280.1389,272.19064
312,26.5,-106.25,288.189,280.19553,272.19406
313,26.5,-105.625,292.42825,282.66382,273.8674
314,26.5,-105.0,294.26294,284.38828,275.33517
315,26.5,-104.375,295.2938,285.47763,277.16525
316,26.5,-103.75,294.97525,285.2687,277.73947
317,26.5,-103.125,294.63113,285.31097,276.59103
318,26.5,-102.5,295.41168,286.09595,277.11447
319,26.5,-101.875,293.5231,280.37082,275.10193
320,26.5,-101.25,294.41968,282.02017,276.5972
321,26.5,-100.625,294.92007,283.54156,278.2621
322,26.5,-100.0,295.49518,284.96414,278.10974
323,26.5,-99.375,296.12924,286.45078,280.12927
324,26.5,-98.75,296.03488,286.72043,281.2848
325,26.5,-98.125,296.01724,287.2842,280.5504
326,26.5,-97.5,295.6197,290.5962,285.00354
327,26.5,-96.875,294.5507,294.5187,293.6051
328,26.5,-96.25,296.4687,296.44833,295.43787
329,26.5,-95.625,297.05524,297.0366,296.06635
330,26.5,-95.0,297.20752,297.18744,296.1861
331,26.5,-94.375,297.32855,297.30664,296.35797
332,26.5,-93.75,297.34335,297.3255,296.27985
333,26.5,-93.125,297.36075,297.34167,296.01422
334,26.5,-92.5,297.03122,297.01324,295.9986
335,26.5,-91.875,296.8598,296.84286,295.9439
336,26.5,-91.25,296.73083,296.71405,295.82672
337,26.5,-90.625,296.58667,296.56668,295.5452
338,26.5,-90.0,296.54135,296.5213,295.45145
339,26.5,-89.375,296.55438,296.53604,295.45145
340,26.5,-88.75,296.87912,296.85962,296.1593
341,26.5,-88.125,297.55936,297.53934,296.99734
342,26.5,-87.5,298.08508,298.06363,297.20047
343,26.5,-86.875,298.13193,298.11002,297.4114
344,26.5,-86.25,297.96213,297.93945,297.26135
345,26.5,-85.625,297.66772,297.64633,296.5339
346,26.5,-85.0,297.36267,297.34146,295.97858
347,26.5,-84.375,297.21085,297.19275,295.82666
348,26.5,-83.75,297.09933,297.0833,295.8614
349,26.5,-83.125,296.18866,296.16824,294.6817
350,26.5,-82.5,294.55038,294.12033,291.95038
351,26.5,-81.875,293.88553,289.81277,282.94345
352,26.5,-81.25,295.07504,289.32776,279.56064
353,26.5,-80.625,295.1568,291.18954,282.70126
354,26.5,-80.0,297.36224,295.69037,291.01767
355,26.5,-79.375,299.22174,299.20303,298.411
356,26.5,-78.75,298.17163,297.82803,296.7989
357,26.5,-78.125,297.92773,297.29553,296.21298
358,26.5,-77.5,297.03748,296.6584,295.5645
359,26.5,-76.875,298.80618,298.10223,297.05673
360,26.5,-76.25,299.11688,299.10278,298.48132
361,26.5,-75.625,299.28778,299.27444,298.5829
362,26.5,-75.0,299.48303,299.46985,298.5204
363,26.5,-74.375,299.43256,299.4156,297.87103
364,26.5,-73.75,299.2286,299.2132,297.7655
365,26.5,-73.125,299.0445,299.0311,298.2364
366,26.5,-72.5,298.89383,298.88187,298.46298
367,26.5,-71.875,298.94128,298.9302,298.35925
368,26.5,-71.25,298.92813,298.91486,297.73822
369,26.5,-70.625,298.59842,298.58325,297.12885
370,26.5,-70.0,298.3553,298.33975,297.0351
371,26.5,-69.375,298.4285,298.41672,297.51947
372,26.5,-68.75,298.51044,298.49722,297.98822
373,26.5,-68.125,298.51544,298.4991,298.08197
374,26.5,-67.5,298.7111,298.69662,298.0985
375,26.5,-66.875,298.72974,298.71454,298.11322
376,27.0,-125.0,293.43744,293.42337,292.7196
377,27.0,-124.375,293.15247,293.1397,292.4403
