,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp,average_windchill,average_min_daily_windchill,min_min_daily_windchill
29,25.0,-106.875,81.27399108886722,70.84074218750004,69.7401684570313,81.27399108886722,70.84074218750004,69.7401684570313
30,25.0,-106.25,64.58268249511724,53.35871093750004,51.831574707031294,64.58268249511724,53.35871093750004,51.831574707031294
31,25.0,-105.625,64.19244812011722,50.269648437500045,50.15665405273442,64.19244812011722,50.269648437500045,50.15665405273442
32,25.0,-105.0,72.86695983886723,55.01105468750004,54.01681030273441,72.86695983886723,55.01105468750004,54.01681030273441
33,25.0,-104.375,76.31988952636722,57.08761718750005,55.40196655273442,76.31988952636722,57.08761718750005,55.40196655273442
34,25.0,-103.75,78.75387390136723,59.37042968750004,58.017591552734416,78.75387390136723,59.37042968750004,58.017591552734416
35,25.0,-103.125,78.92203796386723,60.95480468750005,60.32384155273442,78.92203796386723,60.95480468750005,60.32384155273442
36,25.0,-102.5,77.77535827636724,59.90011718750004,58.861341552734416,77.77535827636724,59.90011718750004,58.861341552734416
37,25.0,-101.875,72.08854644775396,47.10531127929692,46.19937866210942,71.6321672173765,43.4542774362773,41.934305453344535
38,25.0,-101.25,70.27829254150396,45.092030029296915,43.69625366210941,69.8302446995106,41.50764729335011,39.22029631014419
39,25.0,-100.625,68.03913238525395,44.41937377929691,42.233753662109415,67.70670137986617,41.759925736194766,38.607102780326166
40,25.0,-100.0,70.21589019775395,50.714686279296906,47.91500366210941,70.11277550627109,49.8897687474341,46.677627364315185
41,25.0,-99.375,73.52057769775395,55.594373779296916,53.13922241210942,73.52057769775395,55.594373779296916,53.13922241210942
42,25.0,-98.75,75.00241363525394,56.330311279296915,53.58219116210942,75.00241363525394,56.330311279296915,53.58219116210942
43,25.0,-98.125,75.29245269775396,57.04281127929692,54.36265991210942,75.29245269775396,57.04281127929692,54.36265991210942
44,25.0,-97.5,76.82467926025396,74.10531127929691,73.45250366210942,76.82467926025396,74.10531127929691,73.45250366210942
45,25.0,-96.875,76.69460113525395,76.63564575195316,76.41276977539067,76.69460113525395,76.63564575195316,76.41276977539067
46,25.0,-96.25,77.63796051025395,77.62796752929691,77.62577026367191,77.63796051025395,77.62796752929691,77.62577026367191
47,25.0,-95.625,77.73874176025394,77.71432006835943,77.66433227539068,77.73874176025394,77.71432006835943,77.66433227539068
48,25.0,-95.0,77.75924957275396,77.72721069335942,77.57995727539067,77.75924957275396,77.72721069335942,77.57995727539067
49,25.0,-94.375,78.00885894775395,77.99520385742191,77.91745727539066,78.00885894775395,77.99520385742191,77.91745727539066
50,25.0,-93.75,78.59303863525395,78.57682006835942,78.53620727539067,78.59303863525395,78.57682006835942,78.53620727539067
51,25.0,-93.125,79.15143707275395,79.11533325195317,78.95808227539067,79.15143707275395,79.11533325195317,78.95808227539067
52,25.0,-92.5,78.80631988525396,78.77721069335941,78.64870727539068,78.80631988525396,78.77721069335941,78.64870727539068
53,25.0,-91.875,78.14889801025394,78.11158569335942,77.91745727539066,78.14889801025394,78.11158569335942,77.91745727539066
54,25.0,-91.25,78.03346832275396,77.99033325195316,77.77683227539066,78.03346832275396,77.99033325195316,77.77683227539066
